Centro de Operaciones,Código Bodega,Bodega,Código Artículo,Artículo,Código Ubicación,Ubicación,Código Categoría,Categoría,U/Medida,Cantidad Período Anterior,Costo Período Anterior,Cantidad Entradas,Costo Entradas,Cantidad Salidas,Costo Salidas,Cantidad Período,Costo Período,Cantidad Reservada Período,Existencia Período,Costo Unitario,Estatus
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0603,CONSOLADOR DOBLE CABEZA CARNE WBDS001,U001,Ubicación Principal,PRO-08,ADULTOS,Unid,                              72.00,                              58.32,                               0.00,                               0.00,                              42.00,                              34.02,                              30.00,                              24.30,                               0.00,                              30.00,                               0.81,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0604,VIBRADOR FEMALE CONEJO 12 FUNCIONES 45 GRADOS MORADO HQMP892,U001,Ubicación Principal,PRO-08,ADULTOS,Unid,                              32.00,                             343.36,                               0.00,                               0.00,                               5.00,                              53.65,                              27.00,                             289.71,                               0.00,                              27.00,                              10.73,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0605,VIBRADOR FEMALE CONEJO 12 FUNCIONES 45 GRADOS ROSADO HQMP892,U001,Ubicación Principal,PRO-08,ADULTOS,Unid,                              32.00,                             343.36,                               0.00,                               0.00,                               6.00,                              64.38,                              26.00,                             278.98,                               0.00,                              26.00,                              10.73,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0606,VIBRADOR MASAJEADOR DE PROSTATA YCD190121,U001,Ubicación Principal,PRO-08,ADULTOS,Unid,                             102.00,                             270.20,                               0.00,                               0.00,                               4.00,                              10.60,                              98.00,                             259.60,                               0.00,                              98.00,                               2.65,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0607,VIBRADOR MIGNON MARCA LEVETT CON APP REMOTO,U001,Ubicación Principal,PRO-08,ADULTOS,Unid,                             245.00,"                           2,403.45",                               0.00,                               0.00,                              39.00,                             382.59,                             206.00,"                           2,020.86",                               0.00,                             206.00,                               9.81,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0608,VIBRADOR PANTYS MANDO A DISTANCIA AXYPLM01,U001,Ubicación Principal,PRO-08,ADULTOS,Unid,                              44.00,                             199.32,                               2.00,                               9.06,                              10.00,                              45.30,                              36.00,                             163.08,                               0.00,                              36.00,                               4.53,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0609,VIBRADOR REALISTICO CON BASE Y CONTROL QBTG62,U001,Ubicación Principal,PRO-08,ADULTOS,Unid,                              55.00,                             149.05,                               2.00,                               5.42,                              44.00,                             119.24,                              13.00,                              35.23,                               0.00,                              13.00,                               2.71,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0610,CONSOLADOR REALISTICO EYACULADOR YHNB224S,U001,Ubicación Principal,PRO-08,ADULTOS,Unid,                             104.00,                             443.63,                               0.00,                               0.00,                              24.00,                             102.48,                              80.00,                             341.15,                               0.00,                              80.00,                               4.27,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0612,VIBRADOR REALISTICO YUECHAO MORADO BLDZD001,U001,Ubicación Principal,PRO-08,ADULTOS,Unid,                              15.00,                              31.65,                               0.00,                               0.00,                              11.00,                              23.21,                               4.00,                               8.44,                               0.00,                               4.00,                               2.11,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0613,VIBRADOR REALISTICO YUECHAO NEGRO BLDZD001,U001,Ubicación Principal,PRO-08,ADULTOS,Unid,                             110.00,                             232.41,                               0.00,                               0.00,                               8.00,                              16.88,                             102.00,                             215.53,                               0.00,                             102.00,                               2.11,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0614,VIBRADOR REALISTICO YUECHAO CARNE BLDZD001,U001,Ubicación Principal,PRO-08,ADULTOS,Unid,                              31.00,                              65.57,                               0.00,                               0.00,                              20.00,                              42.20,                              11.00,                              23.37,                               0.00,                              11.00,                               2.11,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0616,VIBRADOR RECARGABLE 30 VELOCIDADES MORADO YCYY3001U,U001,Ubicación Principal,PRO-08,ADULTOS,Unid,                             179.00,                             501.20,                               2.00,                               5.60,                             117.00,                             327.60,                              64.00,                             179.20,                               0.00,                              64.00,                               2.80,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0617,VIDEO BALUM X2 EL PAR,U001,Ubicación Principal,PRO-17,AUDIO Y VIDEO,Unid,                               8.00,                              11.05,                               0.00,                               0.00,                               0.00,                               0.00,                               8.00,                              11.05,                               0.00,                               8.00,                               1.38,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0626,MOUSE ALAMBRICO HP X500,U001,Ubicación Principal,PRO-15,COMPUTACION,Unid,                             196.00,                             264.86,                               0.00,                               0.00,                              10.00,                              13.50,                             186.00,                             251.36,                               0.00,                             186.00,                               1.35,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0633,TRANSMISOR 2 EN 1 BT5.0,U001,Ubicación Principal,PRO-01,ACCESORIOS PARA VEHICULOS,Unid,                              38.00,                              45.37,                               0.00,                               0.00,                               4.00,                               4.76,                              34.00,                              40.61,                               0.00,                              34.00,                               1.19,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0634,MINI CAMARA ESPIA WIFI A9,U001,Ubicación Principal,PRO-17,AUDIO Y VIDEO,Unid,                             212.00,                             440.68,                               1.00,                               2.08,                             117.00,                             243.36,                              96.00,                             199.40,                               0.00,                              96.00,                               2.08,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0635,CAMARA VISUAL EAR 3 EN 1,U001,Ubicación Principal,PRO-18,SALUD,Unid,                              20.00,                              81.17,                               0.00,                               0.00,                               3.00,                              12.18,                              17.00,                              68.99,                               0.00,                              17.00,                               4.06,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0648,SILLA CAMPING OZARK TRAIL AZUL,U001,Ubicación Principal,PRO-04,DEPORTE Y FITNESS,Unid,                              22.00,                             182.62,                               0.00,                               0.00,                               0.00,                               0.00,                              22.00,                             182.62,                               0.00,                              22.00,                               8.30,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0687,ANILLO VIBRADOR RETARDANTE DOBLE RC007,U001,Ubicación Principal,PRO-08,ADULTOS,Unid,                             339.00,                             152.55,                               2.00,                               0.90,                              80.00,                              36.00,                             261.00,                             117.45,                               0.00,                             261.00,                               0.45,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0691,FORRO DE SILICON PARA PENE YMSK001,U001,Ubicación Principal,PRO-08,ADULTOS,Unid,                             285.00,                             236.69,                               0.00,                               0.00,                              11.00,                               9.13,                             274.00,                             227.56,                               0.00,                             274.00,                               0.83,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0693,SET DE INICIADORES ANALES SETANAL001 ROSADO,U001,Ubicación Principal,PRO-08,ADULTOS,Unid,                              72.00,                              72.00,                               0.00,                               0.00,                              27.00,                              27.00,                              45.00,                              45.00,                               0.00,                              45.00,                               1.00,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0697,LUBRICANTE PRIVATE LIFE 30ML BANANA XZLSG30ML,U001,Ubicación Principal,PRO-08,ADULTOS,Unid,                              50.00,                              15.21,                               3.00,                               0.90,                              36.00,                              10.80,                              17.00,                               5.31,                               0.00,                              17.00,                               0.30,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0699,LUBRICANTE PRIVATE LIFE 100ML LIMON XZLSG100ML,U001,Ubicación Principal,PRO-08,ADULTOS,Unid,                              60.00,                              46.40,                               0.00,                               0.00,                              34.00,                              26.18,                              26.00,                              20.22,                               0.00,                              26.00,                               0.77,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0701,LUBRICANTE ANAL LOVE MONOGATARI 200ML ZTAO01,U001,Ubicación Principal,PRO-08,ADULTOS,Unid,                             377.00,                             425.28,                               3.00,                               3.39,                              98.00,                             110.74,                             282.00,                             317.93,                               0.00,                             282.00,                               1.13,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0702,IMITACION DE SEMEN LECHE SIYI 200ML SYXDZ01,U001,Ubicación Principal,PRO-08,ADULTOS,Unid,                             539.00,                             524.95,                               0.00,                               0.00,                              37.00,                              35.89,                             502.00,                             489.06,                               0.00,                             502.00,                               0.97,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0703,GEL PARA AUMENTO DE ELASTICIDAD DE MAMA OEDOBC01,U001,Ubicación Principal,PRO-08,ADULTOS,Unid,                              65.00,                              74.43,                               0.00,                               0.00,                               2.00,                               2.30,                              63.00,                              72.13,                               0.00,                              63.00,                               1.15,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0704,MAQUINA MASTURBADORA CON PENE BPJ01,U001,Ubicación Principal,PRO-08,ADULTOS,Unid,                               0.00,                               0.00,                               2.00,                              39.24,                               0.00,                               0.00,                               2.00,                              39.24,                               0.00,                               2.00,                              19.62,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0705,INICIADOR VIBRADOR ANAL DE SILICON YCVA001 ROSADO,U001,Ubicación Principal,PRO-08,ADULTOS,Unid,                             125.00,                             195.33,                               2.00,                               3.12,                              19.00,                              29.64,                             108.00,                             168.81,                               0.00,                             108.00,                               1.56,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0745,CONSOLADOR CORAZON VIDRIO CRISTAL GXNBL01,U001,Ubicación Principal,PRO-08,ADULTOS,Unid,                              50.00,                             123.49,                               0.00,                               0.00,                              14.00,                              34.58,                              36.00,                              88.91,                               0.00,                              36.00,                               2.47,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0746,MORDAZA SEXO ORAL KJZB001 NEGRA,U001,Ubicación Principal,PRO-08,ADULTOS,Unid,                               2.00,                               2.44,                               0.00,                               0.00,                               1.00,                               1.22,                               1.00,                               1.22,                               0.00,                               1.00,                               1.22,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0747,COPA FORMA DE PENE CRISTAL BLJP01,U001,Ubicación Principal,PRO-08,ADULTOS,Unid,                              85.00,                             113.69,                               4.00,                               5.36,                              12.00,                              16.08,                              77.00,                             102.97,                               0.00,                              77.00,                               1.34,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0750,MASCARA ANTIFAZ CONEJITA TNLMJ01 NEGRA,U001,Ubicación Principal,PRO-08,ADULTOS,Unid,                              48.00,                              38.14,                               0.00,                               0.00,                              11.00,                               8.80,                              37.00,                              29.34,                               0.00,                              37.00,                               0.80,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0759,CONTROL DE ASISTENCIA SISTEMA ESPA OL,U001,Ubicación Principal,PRO-19,OFICINA,Unid,                               2.00,                              33.79,                               2.00,                              36.46,                               2.00,                              33.80,                               2.00,                              36.45,                               0.00,                               2.00,                              18.23,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0763,HUMIDIFICADOR DOMO RGB BLANCO,U001,Ubicación Principal,PRO-11,HOGAR,Unid,                              73.00,                              71.22,                              11.00,                              10.76,                              44.00,                              43.06,                              40.00,                              38.92,                               0.00,                              40.00,                               0.97,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0784,MEDIA DE COMPRESION TALLA XXL,U001,Ubicación Principal,PRO-18,SALUD,Unid,                               1.00,                               1.18,                               1.00,                               0.83,                               1.00,                               1.01,                               1.00,                               1.00,                               0.00,                               1.00,                               1.01,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0787,RODILLERA AJUSTABLE XL,U001,Ubicación Principal,PRO-18,SALUD,Unid,                             236.00,                             228.92,                               0.00,                               0.00,                              13.00,                              12.61,                             223.00,                             216.31,                               0.00,                             223.00,                               0.97,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0788,RODILLERA AJUSTABLE XXL,U001,Ubicación Principal,PRO-18,SALUD,Unid,                             161.00,                             156.17,                               2.00,                               1.94,                               9.00,                               8.73,                             154.00,                             149.38,                               0.00,                             154.00,                               0.97,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0800,BALA COLORES PASTELES NEGRO YCAS4301,U001,Ubicación Principal,PRO-08,ADULTOS,Unid,                              71.00,                              59.64,                               0.00,                               0.00,                              32.00,                              26.88,                              39.00,                              32.76,                               0.00,                              39.00,                               0.84,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0801,BALA COLORES PASTELES MORADO YCAS4301,U001,Ubicación Principal,PRO-08,ADULTOS,Unid,                              71.00,                              59.64,                               0.00,                               0.00,                              24.00,                              20.16,                              47.00,                              39.48,                               0.00,                              47.00,                               0.84,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0802,BALA COLORES PASTELES ROSADO YCAS4301,U001,Ubicación Principal,PRO-08,ADULTOS,Unid,                              71.00,                              59.64,                               0.00,                               0.00,                              27.00,                              22.68,                              44.00,                              36.96,                               0.00,                              44.00,                               0.84,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0818,RELOJ INTELIGENTE GT08 SERIE 8 ULTRA NEGRO,U001,Ubicación Principal,PRO-07,RELOJES INTELIGENTES,Unid,                               1.00,                               5.17,                               0.00,                               0.00,                               0.00,                               0.00,                               1.00,                               5.17,                               0.00,                               1.00,                               5.17,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0822,HUMIDIFICADOR HOMEDIC MARRON CLARO,U001,Ubicación Principal,PRO-11,HOGAR,Unid,                              92.00,                             181.24,                               0.00,                               0.00,                              17.00,                              33.49,                              75.00,                             147.75,                               0.00,                              75.00,                               1.97,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0823,HUMIDIFICADOR HOMEDIC MARRON OSCURO,U001,Ubicación Principal,PRO-11,HOGAR,Unid,                             161.00,                             313.95,                               1.00,                               1.95,                              35.00,                              68.25,                             127.00,                             247.65,                               0.00,                             127.00,                               1.95,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0825,MAQUINA DE AFEITAR INALAMBRICA KM-1407 3 EN 1,U001,Ubicación Principal,PRO-05,ESTETICA Y BELLEZA,Unid,                             339.00,"                           1,308.54",                               0.00,                               0.00,                              76.00,                             293.36,                             263.00,"                           1,015.18",                               0.00,                             263.00,                               3.86,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0826,CORRECTOR DE JUANETE,U001,Ubicación Principal,PRO-05,ESTETICA Y BELLEZA,Unid,                             764.00,                             404.92,                               2.00,                               1.06,                              78.00,                              41.34,                             688.00,                             364.64,                               0.00,                             688.00,                               0.53,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0830,ESTIMULADOR ELECTROTERAPIA PORTATIL TENNS,U001,Ubicación Principal,PRO-18,SALUD,Unid,                             229.00,                             792.34,                               0.00,                               0.00,                              67.00,                             231.82,                             162.00,                             560.52,                               0.00,                             162.00,                               3.46,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0835,AVION CONTROL REMOTO ZY-320 AMARILLO,U001,Ubicación Principal,PRO-12,JUEGOS Y JUGUETES,Unid,                               1.00,                              30.00,                               0.00,                               0.00,                               0.00,                               0.00,                               1.00,                              30.00,                               0.00,                               1.00,                              30.00,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0842,LUBRCANTE MULTIORGASMICO CLIMAX OLO 20 ML,U001,Ubicación Principal,PRO-08,ADULTOS,Unid,                              56.00,                              59.92,                               0.00,                               0.00,                              41.00,                              43.87,                              15.00,                              16.05,                               0.00,                              15.00,                               1.07,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0843,"CABLE RCA PLUS 1,5MTS",U001,Ubicación Principal,PRO-20,"CABLES, ADAPTADORES Y CONVERTIDORES",Unid,                              33.00,                              46.20,                               0.00,                               0.00,                               0.00,                               0.00,                              33.00,                              46.20,                               0.00,                              33.00,                               1.40,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0846,ROSA VIBRADORA VAGINA SUCKER ROJO,U001,Ubicación Principal,PRO-08,ADULTOS,Unid,                              82.00,                             239.44,                               0.00,                               0.00,                              19.00,                              55.48,                              63.00,                             183.96,                               0.00,                              63.00,                               2.92,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0850,VIBRADOR POR APLICACION REMOTO YPM,U001,Ubicación Principal,PRO-08,ADULTOS,Unid,                             739.00,"                           2,047.03",                               2.00,                               5.54,                             179.00,                             495.83,                             562.00,"                           1,556.74",                               0.00,                             562.00,                               2.77,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0881,AMOLADOR DE CUCHILLO,U001,Ubicación Principal,PRO-25,COCINA,Unid,                             132.00,                             117.98,                               2.00,                               1.80,                              54.00,                              48.43,                              80.00,                              71.35,                               0.00,                              80.00,                               0.89,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0902,MINI MAQUINA DE COSER,U001,Ubicación Principal,PRO-11,HOGAR,Unid,                               0.00,                               0.00,                               1.00,                               7.10,                               0.00,                               0.00,                               1.00,                               7.10,                               0.00,                               1.00,                               7.10,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0905,VIBRADOR 12 VELOCIDADES CON ESTIMULADOR DE CLITORIS DRHHS001 NEGRO,U001,Ubicación Principal,PRO-08,ADULTOS,Unid,                              64.00,                             524.80,                               0.00,                               0.00,                               6.00,                              49.20,                              58.00,                             475.60,                               0.00,                              58.00,                               8.20,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0906,VIBRADOR 12 VELOCIDADES CON ESTIMULADOR DE CLITORIS DRHHS001 FUCSIA,U001,Ubicación Principal,PRO-08,ADULTOS,Unid,                              80.00,                             656.00,                               0.00,                               0.00,                               8.00,                              65.60,                              72.00,                             590.40,                               0.00,                              72.00,                               8.20,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0907,VIBRADOR 12 VELOCIDADES CON ESTIMULADOR DE CLITORIS DRHHS001 MORADO,U001,Ubicación Principal,PRO-08,ADULTOS,Unid,                              75.00,                             615.00,                               0.00,                               0.00,                               8.00,                              65.60,                              67.00,                             549.40,                               0.00,                              67.00,                               8.20,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0917,EXPRIMIDOR ACRILICO MANUAL DE LIMON,U001,Ubicación Principal,PRO-25,COCINA,Unid,                             138.00,                             128.99,                               0.00,                               0.00,                               1.00,                               0.93,                             137.00,                             128.06,                               0.00,                             137.00,                               0.93,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0918,TAZA BATIDORA RECARGABLE,U001,Ubicación Principal,PRO-25,COCINA,Unid,                             122.00,                             384.28,                               1.00,                               3.15,                              24.00,                              75.60,                              99.00,                             311.83,                               0.00,                              99.00,                               3.15,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0934,CUERDA DE SALTAR AJUSTABLE,U001,Ubicación Principal,PRO-04,DEPORTE Y FITNESS,Unid,                             449.00,                             364.05,                               3.00,                               2.59,                              43.00,                              34.83,                             409.00,                             331.81,                               0.00,                             409.00,                               0.81,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0942,AUDIFONO AIRPODS PRO 2,U001,Ubicación Principal,PRO-06,AUDIFONOS,Unid,                               3.00,                              18.05,                               0.00,                               0.00,                               0.00,                               0.00,                               3.00,                              18.05,                               0.00,                               3.00,                               6.02,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0943,PISTOLA MASAJEADORA FASCIAL GUN KH-320,U001,Ubicación Principal,PRO-18,SALUD,Unid,                             282.00,"                           2,058.60",                               0.00,                               0.00,                              59.00,                             430.70,                             223.00,"                           1,627.90",                               0.00,                             223.00,                               7.30,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0944,MASAJEADOR DE GLUTEO ABS ESTIMULADOR FITNES,U001,Ubicación Principal,PRO-04,DEPORTE Y FITNESS,Unid,                              98.00,                             293.29,                               0.00,                               0.00,                              11.00,                              32.89,                              87.00,                             260.40,                               0.00,                              87.00,                               2.99,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0947,SATISFAYER ROSADO XQZK003,U001,Ubicación Principal,PRO-08,ADULTOS,Unid,                              93.00,                             246.45,                               0.00,                               0.00,                               4.00,                              10.60,                              89.00,                             235.85,                               0.00,                              89.00,                               2.65,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0948,SATISFAYER MORADO XQZK003,U001,Ubicación Principal,PRO-08,ADULTOS,Unid,                              94.00,                             249.58,                               0.00,                               0.00,                               9.00,                              23.85,                              85.00,                             225.73,                               0.00,                              85.00,                               2.65,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0950,BOLSO DE LAPTOP REFLECTIVO CONECTOR POWER BANK AZUL,U001,Ubicación Principal,PRO-15,COMPUTACION,Unid,                               0.00,                               0.00,                               1.00,                               6.04,                               0.00,                               0.00,                               1.00,                               6.04,                               0.00,                               1.00,                               6.04,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0951,BOLSO DE LAPTOP REFLECTIVO CONECTOR POWER BANK NEGRO,U001,Ubicación Principal,PRO-15,COMPUTACION,Unid,                              26.00,                             130.78,                               0.00,                               0.00,                              14.00,                              70.42,                              12.00,                              60.36,                               0.00,                              12.00,                               5.03,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0952,BOLSO DE LAPTOP MULTIFUNCIONAL DOBLE CIERRE CONECTOR POWER BANK NEGRO,U001,Ubicación Principal,PRO-15,COMPUTACION,Unid,                              21.00,                             103.32,                               0.00,                               0.00,                              16.00,                              78.72,                               5.00,                              24.60,                               0.00,                               5.00,                               4.92,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0953,BOLSO DE LAPTOP MULTIFUNCIONAL DOBLE CIERRE CONECTOR POWER BANK GRIS,U001,Ubicación Principal,PRO-15,COMPUTACION,Unid,                              18.00,                              88.56,                               0.00,                               0.00,                               4.00,                              19.68,                              14.00,                              68.88,                               0.00,                              14.00,                               4.92,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0954,BOLSO DE LAPTOP MULTIFUNCIONAL DOBLE CIERRE CONECTOR POWER BANK AZUL,U001,Ubicación Principal,PRO-15,COMPUTACION,Unid,                              24.00,                             118.83,                               0.00,                               0.00,                               0.00,                               0.00,                              24.00,                             118.83,                               0.00,                              24.00,                               4.95,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0955,BOLSO DE LAPTOP MULTIFUNCIONAL DOBLE CIERRE CONECTOR POWER BANK ROJO,U001,Ubicación Principal,PRO-15,COMPUTACION,Unid,                               1.00,                               5.82,                               0.00,                               0.00,                               0.00,                               0.00,                               1.00,                               5.82,                               0.00,                               1.00,                               5.86,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0965,SOPORTE PARA LAVAPLATO VERDE,U001,Ubicación Principal,PRO-25,COCINA,Unid,                              10.00,                              13.10,                               0.00,                               0.00,                               1.00,                               1.31,                               9.00,                              11.79,                               0.00,                               9.00,                               1.31,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0966,SOPORTE PARA LAVAPLATO NARANJA,U001,Ubicación Principal,PRO-25,COCINA,Unid,                               2.00,                               2.62,                               0.00,                               0.00,                               0.00,                               0.00,                               2.00,                               2.62,                               0.00,                               2.00,                               1.31,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0969,CEPILLO LIMPIADOR DE AUDIFONO,U001,Ubicación Principal,PRO-03,CONSOLAS Y VIDEOJUEGOS,Unid,                              38.00,                              24.38,                               0.00,                               0.00,                               1.00,                               0.64,                              37.00,                              23.74,                               0.00,                              37.00,                               0.64,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0980,HUMIDIFICADOR COLOR FULL RGB SPRAY RECARGABLE NEGRO,U001,Ubicación Principal,PRO-11,HOGAR,Unid,                               6.00,                              30.62,                               0.00,                               0.00,                               2.00,                              10.22,                               4.00,                              20.40,                               0.00,                               4.00,                               5.11,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0982,HUMIDIFICADOR COLOR FULL RGB SPRAY RECARGABLE BLANCO,U001,Ubicación Principal,PRO-11,HOGAR,Unid,                              37.00,                             171.74,                               0.00,                               0.00,                               0.00,                               0.00,                              37.00,                             171.74,                               0.00,                              37.00,                               4.64,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0993,MAQUINA DE AFEITAR VINTAGE T9 CON PANTALLA,U001,Ubicación Principal,PRO-05,ESTETICA Y BELLEZA,Unid,                               1.00,                               2.55,                               0.00,                               0.00,                               0.00,                               0.00,                               1.00,                               2.55,                               0.00,                               1.00,                               2.55,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0995,ABRE LATA PORTATIL CON ABRE TAPA,U001,Ubicación Principal,PRO-25,COCINA,Unid,                               2.00,                               9.14,                               0.00,                               0.00,                               0.00,                               0.00,                               2.00,                               9.14,                               0.00,                               2.00,                               4.57,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS1000,LAMPARA DE MESA FLEXIBLE,U001,Ubicación Principal,PRO-19,OFICINA,Unid,                               3.00,                               6.93,                               0.00,                               0.00,                               0.00,                               0.00,                               3.00,                               6.93,                               0.00,                               3.00,                               2.31,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS1009,MAQUINA DEPILADORA A LASER NEGRO,U001,Ubicación Principal,PRO-05,ESTETICA Y BELLEZA,Unid,                             184.00,"                           1,497.76",                               0.00,                               0.00,                              78.00,                             634.92,                             106.00,                             862.84,                               0.00,                             106.00,                               8.14,ACTIVO
